,location,recording_date_time,species_code,Year_since_logging,mean_amp,SM2
13118,H23-CC-139,2023-06-27 07:09:00,WTSP,21,-25.61,1
13119,H23-CC-139,2023-06-27 07:09:00,WTSP,21,-55.505,1
13120,H23-CC-139,2023-06-27 07:09:00,WTSP,21,-47.705,1
13121,H23-CC-139,2023-06-28 06:10:00,WTSP,21,-43.245,1
13122,H23-CC-139,2023-06-29 04:41:00,WTSP,21,-53.285,1
13123,H23-CC-139,2023-06-29 04:41:00,WTSP,21,-37.995000000000005,1
13124,H23-CC-139,2023-06-29 04:41:00,WTSP,21,-43.26,1
13125,H23-CC-139,2023-06-29 04:41:00,WTSP,21,-47.79,1
13126,H23-CC-139,2023-06-29 05:11:00,WTSP,21,-40.105,1
13127,H23-CC-139,2023-06-29 06:11:00,WTSP,21,-41.915,1
13128,H23-CC-139,2023-06-29 06:11:00,WTSP,21,-46.305,1
13129,H23-CC-139,2023-06-29 07:11:00,WTSP,21,-42.04,1
13130,H23-CC-139,2023-06-29 07:11:00,WTSP,21,-41.375,1
13131,H23-CC-139,2023-06-29 07:11:00,WTSP,21,-45.125,1
13132,H23-CC-139,2023-06-30 04:42:00,WTSP,21,-41.89,1
13133,H23-CC-139,2023-06-30 04:42:00,WTSP,21,-33.605000000000004,1
13134,H23-CC-139,2023-06-30 05:12:00,WTSP,21,-45.025000000000006,1
13135,H23-CC-139,2023-06-30 05:12:00,WTSP,21,-52.46,1
13136,H23-CC-139,2023-06-30 05:12:00,WTSP,21,-45.36,1
13137,H23-CC-139,2023-06-30 06:12:00,WTSP,21,-29.99,1
13138,H23-CC-139,2023-06-30 06:12:00,WTSP,21,-48.405,1
13139,H23-CC-139,2023-06-30 06:12:00,WTSP,21,-47.055,1
13140,H23-CC-140,2023-06-05 05:57:00,YRWA,21,-17.46,0
13141,H23-CC-140,2023-06-05 06:57:00,YRWA,21,-45.615,0
13142,H23-CC-140,2023-06-09 06:55:00,REVI,21,-43.355,0
13143,H23-CC-140,2023-06-09 06:55:00,REVI,21,-45.725,0
13144,H23-CC-142,2023-06-17 04:48:00,WTSP,22,-51.73,1
13145,H23-CC-142,2023-06-17 04:48:00,TEWA,22,-43.165,1
13146,H23-CC-142,2023-06-17 05:03:00,WTSP,22,-47.775,1
13147,H23-CC-142,2023-06-17 05:03:00,WTSP,22,-57.055,1
13148,H23-CC-142,2023-06-17 05:18:00,WTSP,22,-46.545,1
13149,H23-CC-142,2023-06-17 05:48:00,WTSP,22,-47.025,1
13150,H23-CC-142,2023-06-17 06:48:00,YRWA,22,-49.215,1
13151,H23-CC-142,2023-06-17 06:48:00,RCKI,22,-51.985,1
13152,H23-CC-142,2023-06-17 06:48:00,OSFL,22,-50.755,1
13153,H23-CC-142,2023-06-17 07:33:00,WTSP,22,-49.44,1
13154,H23-CC-142,2023-06-17 07:33:00,YRWA,22,-51.34,1
13155,H23-CC-142,2023-06-17 08:33:00,YRWA,22,-52.985,1
13156,H23-CC-142,2023-06-18 06:18:00,WTSP,22,-45.165,1
13157,H23-CC-142,2023-06-18 06:48:00,WTSP,22,-48.94,1
13158,H23-CC-142,2023-06-21 06:48:00,WTSP,22,-52.74,1
13159,H23-CC-142,2023-06-21 06:48:00,YRWA,22,-49.765,1
13160,H23-CC-142,2023-06-21 06:48:00,RCKI,22,-47.2,1
13161,H23-CC-142,2023-06-21 08:03:00,RCKI,22,-41.985,1
13162,H23-CC-144,2023-06-21 05:48:00,YRWA,22,-51.325,0
13163,H23-CC-144,2023-06-21 06:33:00,YRWA,22,-57.11,0
13164,H23-CC-144,2023-06-21 06:33:00,OSFL,22,-50.85,0
13165,H23-CC-144,2023-06-21 06:48:00,YRWA,22,-45.7,0
13166,H23-CC-144,2023-06-21 06:48:00,OSFL,22,-52.195,0
13167,H23-CC-144,2023-06-21 07:18:00,OSFL,22,-49.215,0
13168,H23-CC-144,2023-06-21 07:18:00,YRWA,22,-52.145,0
13169,H23-CC-144,2023-06-21 07:33:00,OSFL,22,-48.32,0
13170,H23-CC-144,2023-06-21 07:33:00,YRWA,22,-55.35,0
13171,H23-CC-144,2023-06-21 08:18:00,OSFL,22,-46.51,0
13172,H23-CC-144,2023-06-21 08:18:00,YRWA,22,-53.195,0
13173,H23-CC-144,2023-06-22 08:48:00,WTSP,22,-52.765,0
13174,H23-CC-144,2023-06-22 08:48:00,YRWA,22,-46.650000000000006,0
13175,H23-CC-144,2023-06-23 08:34:00,RCKI,22,-40.05,0
13176,H23-CC-144,2023-06-24 06:34:00,YRWA,22,-49.260000000000005,0
13177,H23-CC-146,2023-06-04 06:52:00,YRWA,5,-50.525,0
13178,H23-CC-146,2023-06-04 06:52:00,OSFL,5,-49.88,0
13179,H23-CC-146,2023-06-04 06:52:00,YRWA,5,-50.31,0
13180,H23-CC-146,2023-06-07 06:20:00,YRWA,5,-54.225,0
13181,H23-CC-146,2023-06-07 06:20:00,YRWA,5,-50.265,0
13182,H23-CC-146,2023-06-08 07:04:00,OSFL,5,-51.19,0
13183,H23-CC-146,2023-06-09 07:19:00,OSFL,5,-48.77,0
13184,H23-CC-146,2023-06-10 08:19:00,OSFL,5,-49.33,0
13185,H23-CC-146,2023-06-11 05:48:00,YRWA,5,-39.055,0
13186,H23-CC-146,2023-06-11 06:33:00,YRWA,5,-52.260000000000005,0
13187,H23-CC-146,2023-06-11 06:33:00,WTSP,5,-43.97,0
13188,H23-CC-146,2023-06-12 08:18:00,YRWA,5,-52.195,0
13189,H23-CC-148,2023-06-04 07:37:00,YRWA,4,-51.815,1
13190,H23-CC-148,2023-06-04 09:22:00,YRWA,4,-49.825,1
13191,H23-CC-148,2023-06-05 06:21:00,OSFL,4,-46.54,1
13192,H23-CC-148,2023-06-06 07:20:00,WTSP,4,-51.075,1
13193,H23-CC-148,2023-06-08 07:19:00,OSFL,4,-51.935,1
13194,H23-CC-148,2023-06-08 07:34:00,OSFL,4,-53.35,1
13195,H23-CC-148,2023-06-08 08:19:00,OSFL,4,-53.35,1
13196,H23-CC-149,2023-06-10 05:49:00,TEWA,13,-42.260000000000005,0
13197,H23-CC-149,2023-06-10 05:49:00,YRWA,13,-38.725,0
13198,H23-CC-149,2023-06-10 06:34:00,YRWA,13,-42.59,0
13199,H23-CC-149,2023-06-10 06:34:00,TEWA,13,-44.29,0
13200,H23-CC-149,2023-06-10 07:19:00,YRWA,13,-41.81,0
13201,H23-CC-149,2023-06-10 07:34:00,YRWA,13,-43.605,0
13202,H23-CC-149,2023-06-10 07:34:00,TEWA,13,-42.475,0
13203,H23-CC-149,2023-06-11 05:48:00,YRWA,13,-43.035,0
13204,H23-CC-149,2023-06-11 05:48:00,WTSP,13,-42.73,0
13205,H23-CC-149,2023-06-11 05:48:00,TEWA,13,-41.01,0
13206,H23-CC-149,2023-06-11 06:33:00,TEWA,13,-43.185,0
13207,H23-CC-149,2023-06-11 07:18:00,YRWA,13,-46.52,0
13208,H23-CC-149,2023-06-11 07:18:00,TEWA,13,-46.925,0
13209,H23-CC-149,2023-06-11 08:03:00,YRWA,13,-39.745000000000005,0
13210,H23-CC-149,2023-06-12 05:48:00,YRWA,13,-47.675,0
13211,H23-CC-149,2023-06-12 05:48:00,WTSP,13,-52.75,0
13212,H23-CC-149,2023-06-12 05:48:00,YRWA,13,-43.505,0
13213,H23-CC-149,2023-06-12 06:48:00,YRWA,13,-45.525000000000006,0
13214,H23-CC-149,2023-06-12 07:18:00,YRWA,13,-47.9,0
13215,H23-CC-149,2023-06-12 07:18:00,YRWA,13,-41.545,0
13216,H23-CC-149,2023-06-13 07:03:00,YRWA,13,-37.86,0
13217,H23-CC-149,2023-06-16 06:33:00,YRWA,13,-35.455,0
13218,H23-CC-149,2023-06-17 07:18:00,WTSP,13,-47.68,0
13219,H23-CC-150,2023-06-09 08:49:00,WTSP,4,-26.355,1
13220,H23-CC-152,2023-06-06 07:05:00,WTSP,10,-55.84,0
13221,H23-CC-152,2023-06-07 07:05:00,RCKI,10,-44.650000000000006,0
13222,H23-CC-152,2023-06-07 07:05:00,TEWA,10,-45.575,0
13223,H23-CC-152,2023-06-08 07:19:00,RCKI,10,-48.23,0
13224,H23-CC-152,2023-06-08 07:49:00,TEWA,10,-48.76,0
13225,H23-CC-152,2023-06-09 07:04:00,TEWA,10,-47.475,0
13226,H23-CC-152,2023-06-10 08:19:00,TEWA,10,-46.84,0
13227,H23-CC-152,2023-06-12 06:48:00,RCKI,10,-41.905,0
13228,H23-CC-152,2023-06-12 06:48:00,RCKI,10,-38.30500000000001,0
13229,H23-CC-152,2023-06-12 07:03:00,RCKI,10,-41.120000000000005,0
