location,recording_date_time
H-RS-2-59,2021-06-08 6:40
H-RS-32-12,2021-06-08 6:40
H-RS-32-6,2021-06-08 6:40
H-RS-7-52,2021-06-08 6:40
H-CC-2-58,2021-06-08 7:00
H-RS-19-91,2021-06-08 7:00
H-RS-2-11,2021-06-08 7:00
H-RS-2-43,2021-06-08 7:00
H-RS-32-12,2021-06-08 7:00
H-RS-32-6,2021-06-08 7:00
H-RS-7-52,2021-06-08 7:00
H-CC-32-9,2021-06-08 7:20
H-RS-2-48,2021-06-08 7:20
H-RS-2-59,2021-06-08 7:20
H-RS-2-8,2021-06-08 7:20
H-CC-2-58,2021-06-08 7:40
H-RS-2-48,2021-06-08 7:40
H-RS-32-7,2021-06-08 7:40
H-CC-2-58,2021-06-08 8:00
H-RS-2-12,2021-06-08 8:00
H-RS-2-43,2021-06-08 8:00
H-CC-32-9,2021-06-08 8:20
H-RS-2-11,2021-06-08 8:20
H-RS-2-12,2021-06-08 8:20
H-RS-32-7,2021-06-08 8:20
H-RS-2-10,2021-06-08 8:40
H-RS-2-9,2021-06-08 8:40
H-RS-32-7,2021-06-08 8:40
H-CC-2-58,2021-06-08 9:00
H-RS-2-12,2021-06-08 9:00
H-RS-32-6,2021-06-08 9:00
H-CC-2-58,2021-06-08 9:20
H-CC-32-9,2021-06-08 9:20
H-RS-2-10,2021-06-09 5:20
H-RS-2-48,2021-06-09 5:20
H-RS-2-8,2021-06-09 5:20
H-RS-32-12,2021-06-09 5:20
H-RS-2-48,2021-06-09 5:40
H-RS-2-8,2021-06-09 5:40
H-RS-7-52,2021-06-09 5:40
H-RS-2-9,2021-06-09 6:00
H-RS-32-8,2021-06-09 6:00
H-RS-7-52,2021-06-09 6:00
H-CC-32-9,2021-06-09 6:20
H-RS-32-7,2021-06-09 6:20
H-RS-19-91,2021-06-09 6:40
H-RS-10-2,2021-06-09 7:00
H-RS-2-10,2021-06-09 7:00
H-RS-2-48,2021-06-09 7:00
H-RS-32-6,2021-06-09 7:20
H-RS-32-8,2021-06-09 7:20
H-RS-2-43,2021-06-09 7:40
H-RS-32-7,2021-06-09 7:40
H-RS-10-2,2021-06-09 8:00
H-RS-32-12,2021-06-09 8:20
H-RS-32-7,2021-06-09 8:20
H-RS-32-8,2021-06-09 8:20
H-RS-32-6,2021-06-09 8:40
H-CC-2-13,2021-06-09 9:00
H-RS-19-91,2021-06-09 9:00
H-RS-2-9,2021-06-09 9:00
H-CC-2-13,2021-06-09 9:20
H-RS-32-8,2021-06-10 5:20
H-RS-19-91,2021-06-10 5:40
H-RS-32-6,2021-06-10 5:40
H-CC-2-58,2021-06-10 6:00
H-RS-32-12,2021-06-10 6:00
H-CC-32-9,2021-06-10 6:20
H-RS-2-11,2021-06-10 6:20
H-RS-32-7,2021-06-10 6:20
H-RS-32-8,2021-06-10 6:20
H-RS-32-34,2021-06-10 6:40
H-RS-32-6,2021-06-10 6:40
H-RS-32-7,2021-06-10 6:40
H-RS-2-11,2021-06-10 7:00
H-RS-32-12,2021-06-10 7:00
H-RS-32-34,2021-06-10 7:00
H-RS-32-6,2021-06-10 7:00
H-RS-32-34,2021-06-10 7:40
H-CC-32-9,2021-06-10 8:00
H-RS-32-34,2021-06-10 8:00
H-RS-32-12,2021-06-10 8:20
H-RS-32-6,2021-06-10 8:20
H-RS-32-7,2021-06-10 8:20
H-CC-32-9,2021-06-10 8:40
H-RS-32-12,2021-06-10 8:40
H-RS-2-11,2021-06-10 9:00
H-RS-2-8,2021-06-10 9:00
H-RS-2-9,2021-06-10 9:00
H-RS-32-8,2021-06-10 9:00
H-CC-32-9,2021-06-10 9:20
H-RS-2-12,2021-06-11 5:20
H-RS-2-59,2021-06-11 5:20
H-RS-2-8,2021-06-11 5:20
H-RS-32-12,2021-06-11 5:40
H-RS-32-34,2021-06-11 5:40
H-RS-32-8,2021-06-11 5:40
H-RS-2-12,2021-06-11 6:00
H-RS-2-9,2021-06-11 6:00
H-RS-32-8,2021-06-11 6:00
H-CC-2-58,2021-06-11 6:20
H-RS-2-59,2021-06-11 6:20
H-RS-32-34,2021-06-11 6:20
H-CC-32-9,2021-06-11 6:40
H-RS-2-59,2021-06-11 6:40
H-RS-2-8,2021-06-11 6:40
H-RS-32-12,2021-06-11 6:40
H-RS-2-11,2021-06-11 7:00
H-RS-32-34,2021-06-11 7:00
H-CC-2-58,2021-06-11 7:20
H-CC-32-9,2021-06-11 7:20
H-RS-19-91,2021-06-11 7:20
H-RS-2-8,2021-06-11 7:20
H-RS-32-7,2021-06-11 7:20
H-CC-32-9,2021-06-11 7:40
H-RS-2-8,2021-06-11 7:40
H-RS-32-34,2021-06-11 7:40
H-RS-32-34,2021-06-11 8:00
H-RS-32-6,2021-06-11 8:00
H-RS-2-12,2021-06-11 8:20
H-RS-32-34,2021-06-11 8:20
H-RS-2-12,2021-06-11 8:40
H-RS-32-12,2021-06-11 8:40
H-RS-32-12,2021-06-11 9:00
H-RS-32-6,2021-06-11 9:00
H-RS-32-8,2021-06-11 9:00
H-CC-32-9,2021-06-11 9:20
H-RS-32-8,2021-06-12 5:20
H-RS-32-6,2021-06-12 5:40
H-RS-2-11,2021-06-12 6:00
H-RS-2-9,2021-06-12 6:00
H-RS-32-34,2021-06-12 6:00
H-CC-32-9,2021-06-12 6:40
H-RS-2-10,2021-06-12 6:40
H-RS-32-7,2021-06-12 6:40
H-RS-32-12,2021-06-12 7:00
H-RS-32-34,2021-06-12 7:00
H-RS-32-8,2021-06-12 7:00
H-CC-32-9,2021-06-12 7:20
H-RS-2-11,2021-06-12 7:20
H-RS-32-34,2021-06-12 7:40
H-RS-2-11,2021-06-12 8:00
H-RS-32-12,2021-06-12 8:00
H-RS-32-34,2021-06-12 8:00
H-CC-32-9,2021-06-12 8:20
H-CC-32-9,2021-06-12 8:40
H-RS-2-11,2021-06-12 8:40
H-RS-32-7,2021-06-12 8:40
H-RS-32-8,2021-06-12 8:40
H-RS-2-11,2021-06-12 9:00
H-RS-32-34,2021-06-12 9:00
H-CC-32-9,2021-06-13 5:40
H-RS-32-6,2021-06-13 5:40
H-CC-32-9,2021-06-13 6:40
H-RS-32-8,2021-06-13 7:00
H-RS-32-6,2021-06-13 8:00
H-RS-32-7,2021-06-13 8:20
H-CC-32-9,2021-06-13 9:00
H-RS-32-7,2021-06-13 9:00
H-RS-12-7,2021-06-15 5:20
H-RS-6-32,2021-06-15 5:20
H-CC-6-6,2021-06-15 5:40
H-RS-12-7,2021-06-15 5:40
H-RS-6-14,2021-06-15 5:40
H-RS-6-32,2021-06-15 5:40
H-CC-6-6,2021-06-15 6:00
H-RS-12-1,2021-06-15 6:00
H-RS-12-7,2021-06-15 6:00
H-RS-12-7,2021-06-15 6:20
H-RS-6-32,2021-06-15 6:20
