"","distance","species_code","BinForest","SM2","lwr","upr","predicted"
"43",55.8216432865731,"BRBL","FO",0,-27.8591327193908,-26.0155769497115,-26.9373548345512
"44",56.7935871743487,"BRBL","FO",0,-28.0736891145566,-26.2321335243782,-27.1529113194674
"45",57.7655310621242,"BRBL","FO",0,-28.2857803242624,-26.4460667620774,-27.3659235431699
"46",58.7374749498998,"BRBL","FO",0,-28.4954914957933,-26.6574613346078,-27.5764764152005
"47",59.7094188376754,"BRBL","FO",0,-28.7029035759385,-26.8663977525507,-27.7846506642446
"48",60.6813627254509,"BRBL","FO",0,-28.9080935807679,-27.0729526356038,-27.9905231081858
"49",61.6533066132264,"BRBL","FO",0,-29.1111348439727,-27.2771989614327,-28.1941669027027
"50",62.625250501002,"BRBL","FO",0,-29.3120972457881,-27.4792062950524,-28.3956517704203
"51",63.5971943887776,"BRBL","FO",0,-29.5110474242919,-27.6790410005371,-28.5950442124145
"52",64.5691382765531,"BRBL","FO",0,-29.7080489706901,-27.8767664366611,-28.7924077036756
"53",65.5410821643287,"BRBL","FO",0,-29.903162610024,-28.0724431379119,-28.987802873968
"54",66.5130260521042,"BRBL","FO",0,-30.0964463685925,-28.2661289821616,-29.181287675377
"55",67.4849699398798,"BRBL","FO",0,-30.2879557292468,-28.4578793461573,-29.372917537702
"56",68.4569138276553,"BRBL","FO",0,-30.4777437756024,-28.6477472498727,-29.5627455127375
"57",69.4288577154309,"BRBL","FO",0,-30.6658613261069,-28.8357834906599,-29.7508224083834
"58",70.4008016032064,"BRBL","FO",0,-30.852357058813,-29.0220367680509,-29.937196913432
"59",71.372745490982,"BRBL","FO",0,-31.037277627625,-29.2065537999747,-30.1219157137999
"60",72.3446893787575,"BRBL","FO",0,-31.2206677707106,-29.3893794310852,-30.3050236008979
"61",73.3166332665331,"BRBL","FO",0,-31.4025704117096,-29.5705567338296,-30.4865635727696
"62",74.2885771543086,"BRBL","FO",0,-31.5830267543101,-29.7501271028285,-30.6665769285693
"63",75.2605210420842,"BRBL","FO",0,-31.7620763707105,-29.9281303430879,-30.8451033568992
"64",76.2324649298597,"BRBL","FO",0,-31.9397572844418,-30.1046047525158,-31.0221810184788
"65",77.2044088176353,"BRBL","FO",0,-32.1161060479782,-30.2795871991759,-31.1978466235771
