Block,Treatment,Plot,SMR,SNR,Slope (%),Aspect (degrees),Mesoslope,Exposure,Humus Form,Humus Thickness (cm),Ae / Ah,A thickness (cm),Soil Texture,Mineral Soil Depth,Rooting Depth,Coarse Fragment (%),Gleying / Mottling,Gleying Depth (cm),Root Restricting Layer,Root Restricting Depth (cm),Canopy,Vegetation,Notes
DOC266,LR,DOC266_LR_S,4-,B+,7,150,,,Moder,2 - 5,Ae,5 - 7,L-SiL,,,35,No,,,,At,Alnu sp; At; Sx; Pli; Sb; Shep can; Clin uni; Cala can; Vacc cae; Mela inv; Amel aln; Rosa aci,Soils more similar to other treatments versus other plots in this treatment.
DOC266,LR,DOC266_LR_SE,4,C-,12,125,,,Moder,5 - 7,Ae,3 - 5,SiL-Si,> 50,,0,No,,,,,At; Sali sp; Pli; Sx; Bl; Shep can; Vacc cae; Mela inv,
DOC266,LR,DOC266_LR_W,4,C,5 - 10,0,Level,,,,Ah,< 1,,,,30,No,,,,,At; Sali sp; Pli; Sx; Sb; Cala can; Mela inv; Loni inv,Similar veg. to C plot; soils slightly darker.
DOC266,NT,DOC266_NT_C,4,B,< 5,,Level,,Moder,7 - 10,Ae,3 - 5,SL-L,,,40,No,,,,,Alnu sp; Loni inv; Spir sp; Aral nud; Cham ang; Aste sp,Thick At.
DOC266,NT,DOC266_NT_N,4,C+,,,,,Moder,,Ah,3,,,,,No,,,,,Pli; Alnu sp; Sx; At; Sali sp; Cham ang; Linn bor,Soils similar to other plots; slightly darker. Burn area near road.
DOC266,NT,DOC266_NT_NW,4+,D,10 - 15,330,Lower-Toe,,Moder,3 - 7,Ah,1 - 3,L,,,,No,,Yes,50,,Sali sp; At; Cham ang; Loni inv; Aste sp; Frag vir; Vibu edu,Darker soils with more clay versus other plots.
DOC266,NT,DOC266_NT_S,4,B,0 - 15,150,Upper-Level,,Moder,,,,,,,40,No,,,,At,At; Bl; Pli; Mela inv; Shep can; Cala can; Vacc cae; Spir sp; Coma umb; Rosa aci; Maia rac; Clin uni; Achi mil,More open / less At versus C plot.
DOC266,NT,DOC266_NT_SE,4,C,< 5,157.5,Level-Lower,,Moder,,Ah,,,,,,No,,,,,Rubu par; Linn bor; Clin uni,Soils similar; slightly darker. Vegetation similar to other plots; less Clin uni; no Shep can. Approaching depression.
DOC266,NT,DOC266_NT_W,4,C-,,,Level,,Moder,15,Ae,4,,,40,,No,,Yes,40,,At; Sali sp; Alnu sp; Cham ang; Rubu par; Rubu ida; Cala can,Well developed shrub layer. Opposite side of road versus other plots; near ditch.
MUS061a,FR,MUS061a_FR_C,3,C,,,Crest-Level,,Moder,2,,0,SiL,100,100,0,No,,,,,Pli; At; Sx; Sb; Shep can; Amel aln; Spir sp; Rosa aci; Vacc sp; Cala can; Corn can,
MUS061a,FR,MUS061a_FR_N,3,C,,,,,,,Ae,Trace,,,,,No,,,,,,
MUS061a,FR,MUS061a_FR_NW,3-,C,,,,,,,Ae,3,SL-L,,,,No,,,,,,Low percentage cf.
MUS061a,FR,MUS061a_FR_S,3,C,,,,,,,,,,,,,No,,,,,,Similar to C plot. More shrub development.
MUS061a,FR,MUS061a_FR_SE,3-,C,,,,,,,,0,SL-L,,,,No,,,,,Arct uva; clad sp,Similar to NW.
MUS061a,FR,MUS061a_FR_W,3,C,,,,,,,,,,,,,No,,,,,Artc uva; Sali sp,Similar to C plot. Less shrub development.
MUS061a,HR,MUS061a_HR_C,4,C,5,120,Mid,,Moder,3,Ae,3,SiL,> 50,> 50,0,No,,No,,,At; Pli; Sx; Alnu sp; Vibu edu; Shep can; Clin Uni; Cala can; Coma umb; Vacc sp; Diph com; Maia rac; Anap mar,
MUS061a,HR,MUS061a_HR_N,4,C,,,Level,,Moder,5,Ae,2,,,,,No,,,,,,
MUS061a,HR,MUS061a_HR_NW,4,C,,,Mid-Lower,,,,,,,,,,No,,,,,Alnu sp; Sali sp; Loni inv; Equi sp,Similar soils to other plots.
MUS061a,HR,MUS061a_HR_S,5,C,10,,Mid-Lower,,,,,,,,,,No,,,,,Sb,"Similar veg. to C plot, more Shep can."
MUS061a,HR,MUS061a_HR_SE,4,C,0 - 5,320,Mid-Lower,,Moder,5,Ae,3,SiL,> 50,,0,No,,,,,,
MUS061a,HR,MUS061a_HR_W,3,C,10,135,Upper,,Moder,3,Ae,1,,> 50,> 50,,No,,,,,Rosa aci; Spir bet; Aste sp; Aral nud; Maia rac; Loni inv; Corn can.,Well developed shrub layer.
MUS061a,LR,MUS061a_LR_C,4,C,10,245,Mid,,Moder,3,Ae,3,SiL,> 70,40,0,No,,No,,,Pli; Sx; At; Bl; Alnu sp; Sali sp; Loni inv; Spir sp; Vibu edu; Vacc sp; Diph com; Coma umb; Cham ang,Similar to N and S plot.
MUS061a,LR,MUS061a_LR_N,4,C,,,Mid,,,,,,,,,,No,,,,,,Similar to C plot.
MUS061a,LR,MUS061a_LR_NW,6-,C,0,NA,Level-Toe,Cold-air; frost.,Moder,8,Ah,< 1,SiL,> 50,30,0,Yes,20,No,,At Act,Pli; Sb; Act; At; Loni inv; Spir dou; Vacc sp; Frag vir; Orth sec; Equi sp; Cast min; Geum arv; Junc sp; Sphagnum sp,
MUS061a,LR,MUS061a_LR_S,4,C,,,Mid,,,,,,,,,,No,,,,,,Similar to C plot.
MUS061a,LR,MUS061a_LR_SE,3,C,15,300,Upper,,Moder,3,Ae,2,SiL,> 50,> 50,0,No,,No,,,Pli; Sx; At; Sali sp; Alnu sp; Vibu edu; Loni inv; Spir bet; Rubu ida; Diph com; Coma umb; Cham ang; Corn can; Maia rac; Aral nud,
MUS061a,LR,MUS061a_LR_W,6-,C,,,Lower,Cold-air; frost.,Moder,3,Ae,5,SiL,> 50,> 50,0,Yes,20,No,,,Pli; Sb; Sx; At; Sali sp; Loni inv; Spir dou; Peta pal; Lyco sp; Cham ang; Cala can; Vacc sp,Well developed shrub layer.
MUS111,FR,MUS111_FR_C,5+,C,,,Level,,Moder,3,Ah,3,SCL,,,30,Light,< 30,Yes,40,,Pli; Sx; Bl; Sali sp; Alnu sp; Loni inv; Rosa aci; Ribe lac; Cala can; Mela lin; Equi sp; Gali tri,Wet site.
MUS111,FR,MUS111_FR_N,4,C-,,,Level,,Moder,1 - 3,Ae,1 - 10,SL,,35,30,Light,< 30,Yes,35,,At; Pli; Bl; Sx; Alnu sp; Linn bor; Vacc myr; Peta pal; Rosa aci; Ribe lac,Variable Ae.
MUS111,FR,MUS111_FR_NW,4,C,0,NA,Level,,Moder,7,Ae,< 1,L,,15,20,Light,20,Yes,20,,Bl; Pli; Sx; At; Loni inv; Alnu sit; Ribe lac; Rosa aci; Spir bet; Linn bor; Gali tri; Corn can,
MUS111,FR,MUS111_FR_S,4-,B+,10,180,Upper,,Moder,6,Ae,10,L,25,25,15,No,,,,,Cala can; Vacc mem,Similar to other plots; grass; less compact soils.
MUS111,FR,MUS111_FR_SE,3-,B+,,,Crest,,,,Ae,1 - 3,SL,,30,,No,,Yes,30,,Bl; Sx; Pli; At; Sb; Rosa aci; Vacc mem; Diph com,Variable Ae. Similar veg to other plots. Slight ridge between two draws.
MUS111,FR,MUS111_FR_W,5-,D-,2,180,Level,,Moder,7,Ah,10,SiL-SCL,25,25,35,Light,18,Yes,25,,Bl; Pli; Sx; At; Loni inv; Alnu sit; Ribe lac; Rosa aci; Spir bet; Linn bor; Gali tri; Corn can,Similar veg. to other plots.
MUS111,HR,MUS111_HR_C,4,C,15,80,Mid,,Moder,3 - 5,Ae,3 - 5,SL-SiL,,35,,No,,,,,,Similar veg to NW. Charcoal and wood in humus.
MUS111,HR,MUS111_HR_N,4,C,0,NA,Level,Cold-air; frost.,Moder,3,Ae,5 - 10,SL,45,45,,No,,,,,Sx; Sb; Pli; At; Bl; Sali sp; Ledu gro; Spir dou; Rosa aci; Loni inv; Hier sp; Cham ang; Vacc myr; Peta pal; Corn can; Spir bet,Buried Ae.
MUS111,HR,MUS111_HR_NW,4,C,0,NA,Level,Cold-air; frost.,Moder,3,Ae,5,SL,75,,,No,,,,,Sx; Sb; Pli; At; Bl; Sali sp; Vacc mem; Spir bet; Shep can; Linn bor; Clin uni; Cala can; Orth sec; Ledu gro; Spir dou; Rosa aci; Loni inv; Hier sp; Vacc myr; Peta pal; Corn can,Similar to N plot. Buried Ae.
MUS111,HR,MUS111_HR_S,7,C,0,NA,Level,Cold-air; frost.,Moder,20,,,SiL,,,,Yes,20,Yes,50,,Sb; Pli; Alnu sit; Sali sp; Loni inv; Spir dou; Cala can; Linn bor; Vacc myr; Geum arv,Water table at 50 cm.
MUS111,HR,MUS111_HR_SE,6,C+,10,310,Depression,,Moder,10,Ah,2,SL,30,30,,Yes,30,,,,At; Alnu sit; Pli; Bl; Cala can; Rubu ida; Loni inv; Cham ang; Corn can; Linn bor; Rosa aci; Gali tri; Spir dou,Vegetation similar to NW and S plots.
MUS111,HR,MUS111_HR_W,4,C,0,NA,Level,Cold-air; frost.,Moder,3,Ae,3 - 4,SL,45,45,,No,,,,,Sx; Sb; Pli; At; Bl; Sali sp; Vacc mem; Spir bet; Shep can; Linn bor; Clin uni; Cala can; Orth sec; Ledu gro; Spir dou; Rosa aci; Loni inv; Hier sp; Vacc myr; Peta pal; Corn can,Similar to N and NW plots.
MUS111,LR,MUS111_LR_C,4,C-,20,315,Mid,,Moder,10 - 15,Ae,3,,,35,25,No,,Yes,35,"At, Bl",Bl; At; Pli; Alnu sp; Linn bor; Corn can; Equi sp; Orth sec; Loni inv; Rubu ida,
MUS111,LR,MUS111_LR_N,5,C-,,,Level-Toe,Cold-air; frost.,,Thick,Ah,Thick,,,60,,No,,,,,Pli; Bl; Sx; Sb; Cham ang; Cirs sp; Rubu ida; Aste sp; Mela lin; Cala can; Loni inv; Tara sp; Geum arv,Thick Ah/H; buried horizons. Sparse regen.
MUS111,LR,MUS111_LR_NW,4,C-,,,Level,,Moder,10,Ae,10,SiL,,30,,No,,,,At,At; Pli; Bl; Equi sp; Cham ang; Vacc sp; Frag vir; Loni inv; Rosa aci; Gali tri; Mite sp; Hera max,"Next to gully. Slashy. Low herb cover. Variable, buried Ae."
MUS111,LR,MUS111_LR_S,3,B,5 - 15,300,Upper,,,,Ae,6,,,18,,No,,,,,Pli; Bl; Sx; Sali sp; Vacc mem; Vacc myr; Corn can; Mela lin; Orth sec,Similar to C. Dense regen; sparse herb.
MUS111,LR,MUS111_LR_SE,3+,C-,0,NA,Level,,Moder,8,,,SiL,,40,25,Light,< 30,Yes,40,,Bl; Sx; At; Alnu sp; Loni inv; Rosa aci; Vacc mem; Linn bor; Vacc myr; Spir bet,Similar to S plot.
MUS111,LR,MUS111_LR_W,6+,C-,,,Level,Cold-air; frost.,,Thick,Ah,Thick,CL,,,,Yes,70,,,,Alnu sp; Sali sp; Pli; Sb; Sx; Loni inv; Cala can; Rosa aci; Cham ang; Aste sp; Ribe lac; Mite sp; Corn can; Linn bor; Mela lin,Dense Alnu; sparse regen. Similar to N plot.
MUS111,NT,MUS111_NT_C,4,C,15 - 20,160,Variable,,Moder,5,No,,LS-SL,,> 100,0,No,,,,,Bl; Pli; Sx; At; Sali sp; Sb; Corn can; Vacc sp; Cham ang; Spir bet; Equi sp,Variable site. Gullies.
MUS111,NT,MUS111_NT_E,4,C,< 5,270,Level,,Moder,3,Ae,< 1,,,,,No,,,,,Pli; At; Bl; Sb; Spir sp; Loni inv; Vacc sp; Clad sp,Similar to N plot.
MUS111,NT,MUS111_NT_N,4,C,,,Level,,,,Ae,1,SL-LS,,,,Light,18,,,,Pli; At; Sx; Sb; Bl; Sali sp; Loni inv; Clin uni; Hera max,Open. Similar to NW plot.
MUS111,NT,MUS111_NT_NW,4,C,,,Level,,,,Ae,< 1,,,,,No,,,,,At; Pli; Sb; Sx; Bl; At; Corn can; Linn bor; Vacc sp; Peta pal; Spir sp,Similar soils to S plot.
MUS111,NT,MUS111_NT_S,6,C,,,Depression,Cold-air; frost.,Moder,20,Ah,4 - 5,SiL-SiCL,> 80,,,Yes,75,,,,Pli; Bl; Sb; At; Sali sp; Spir dou; Loni inv; Mite nud; Lyco sp; Gali tri; Hier sp; Equi sp,In narrow draw; wet. H and Ah blend. Moss.
MUS111,NT,MUS111_NT_W,4,C,,,Level-Depression,,Moder,4,Ae,2,,,,,No,,,,,Pli; Corn can; Vacc sp; Cala can,Similar to C; more Pl.
MUS113,LR,MUS113_LR_C,4-,B+,0,NA,Level,Cold-air; frost.,Moder,5,Ae,4,L,> 35,25,65,Light,< 30,,,,Sx; Pli; Sb; Bl; At; Sali sp; Loni inv; Alnu sit; Spir bet; Spir dou; Rosa aci; Corn can; Cala can; Hera max; Vacc myr,Charcoal.
MUS113,LR,MUS113_LR_N,4+,C-,,,Level,,Moder,Trace,Ae,Trace,,,,,Light,< 30,,,,At; Pli; Bl; Sx; Sali sp; Orth sec; Vacc mem; Vacc myr; Rosa aci; Sorb sp,Similar to N plot.
MUS113,LR,MUS113_LR_NW,4+,B+,,,Level,,Moder,3,Ae,0 - 3,SiL,,20,45,Light,< 30,Yes,20 - 30,,Pli; Bl; Sx; Sb; Spir sp; Rosa aci; Cala can; Loni inv; Hier sp; Linn bor; Vacc mem; Corn can,"Lighter, wetter soils."
MUS113,LR,MUS113_LR_S,4,B,4,180,Mid-Level,Cold-air; frost.,Moder,4,Ae,3,L,> 40,25,35,Light,,,,,Sx; Pli; Sb; Bl; At; Sali sp; Loni inv; Alnu sit; Spir bet; Spir dou; Rosa aci; Corn can; Cala can; Hera max; Vacc myr,Charcoal in LFH / Ae. Veg similar to C plot.
MUS113,LR,MUS113_LR_SE,4,C-,,,Level,,Moder,3,Ae,7,SiL,,30,30,No,,Yes,30,,,
MUS113,LR,MUS113_LR_W,4+,B-,0,NA,Level,Cold-air; frost.,Moder,5,Ae,6 - 10,SiL,> 40,30,10,Light,10,,,,Sx; Pli; Sb; Bl; At; Loni inv; Alnu sit; Spir bet; Spir dou; Rosa aci; Corn can; Cala can; Hera max; Vacc myr,Charcoal in LFH / Ae.
MUS113,NT,MUS113_NT_C,4+,C,,,Level,,Moder,3,Ah / Ae,1 / 3,SiL-SL,,,0,Light,< 30,,,"At, Pl",Alnu sp; Bl; Sx; Pli; At; Loni inv; Rubu sp; Clin uni; Tiar tri; Gali tri; Spir bet; Rubu par; Corn can; Linn bor,"Deep soils; buried horizons. Abundant B1 Bl, Sx. Pl, At vets."
MUS113,NT,MUS113_NT_N,4,C,,,Level,,Moder,3,Ae,2,SL,,40,30,Light,< 30,Yes,40,,Sx; Sb; Bl; Pli; At; Linn bor; Loni inv; Spir sp; Corn can; Cala can; Rubu ida; Rosa aci; Tara sp; Hier sp; Cirs sp,
MUS113,NT,MUS113_NT_NW,4,C,5 - 10,330,Mid,,Moder,3,Ae,0 - 3,,,40,35,No,,Yes,40,,Sx; Sb; Bl; Pli; At; Mx; Alnu sp; Linn bor; Loni inv; Spir sp; Corn can; Cala can; Rubu ida; Rosa aci; Tara sp; Hier sp; Cirs sp; Rubu par,Similar veg. and soils to N plot. Variable topography.
MUS113,NT,MUS113_NT_S,5-,C+,0,NA,Level,,Moder,3,Ah,1,SiL,> 15,15,0,Light,8,,,,Sx; Pli; At; Bl; Alnu sit; Loni inv; Spir bet; Rubu ped; Vacc mem; Vacc myr; Corn can; Cala can; Rosa aci; Lyco cal; Linn bor; Peta pal; Ribe lac; Rubu par; Amel aln,Similar to SE plot (veg. and soils).
MUS113,NT,MUS113_NT_SE,4+,D,0,NA,Level,,Moder,5,Ah,7,SiL,> 20,20,5,Light,20,,,,Sx; Pli; At; Bl; Alnu sit; Loni inv; Spir bet; Rubu ped; Vacc mem; Vacc myr; Corn can; Cala can; Rosa aci; Lyco cal; Linn bor,Charcoal.
MUS113,NT,MUS113_NT_W,5-,C+,2,315,Level,,Moder,5,Ae,6,SiL,> 40,40,0,No,,,,,Sx; Pli; At; Bl; Alnu sit; Loni inv; Spir bet; Rubu ped; Vacc mem; Vacc myr; Corn can; Cala can; Rosa aci; Lyco cal; Linn bor; Peta pal; Ribe lac; Rubu par; Vibu edu; Amel aln,Charcoal. Vegetation similar to other plots in treatment.
MUS124,FR,MUS124_FR_C,5+,C-,,,Level,,Moder,5,No,0,L,50,30,25,Light,< 30,Yes,30,,Act; At; Pli; Bl; Sali sp; Loni inv; Spir bet; Rosa aci; Equi arv; Hier sp; Corn can; Rubu ida; Peta pal; Cham ang; Linn bor,Well developed shrub and herb layers.
MUS124,FR,MUS124_FR_N,5,C-,,,Level,,,,No,0,L,,,,Light,< 30,Yes,30 - 50,,Sali sp; Alnu sp; Pli; Sx; Bl; Spir dou x bet ,Intermediate-coloured soils.
MUS124,FR,MUS124_FR_NW,4+,B+,,,Level,,,,,,,,,,Light,< 30,Yes,30 - 50,,Mela lin; Equi sp,Veg. and soils similar to N plot; less shrub development; shallower soils.
MUS124,FR,MUS124_FR_S,5,C+,,,Level,,Moder,5,Ah,< 1,L-SiL,> 50,30,0,Light,< 30,,,At,Alnu sp; At; Sali sp; Gymn dry; Equi sp; Vibu edu; Ribe lac,Well developed shrubs.
MUS124,FR,MUS124_FR_SE,5-,C-,,,,,Moder,5,Ae,2,,,,10,Light,< 30,Yes,30 - 50,,Vacc cae; Equi sp,"Similar veg. to other plots; more Vacc cae, less Equi sp."
MUS124,FR,MUS124_FR_W,5,D,,,Level,,,,Ah,5,,,,,Light,< 30,Yes,30 - 50,,Equi sp; Gymn dry,Similar to other plots. Well developed shrubs. Low cf.
MUS124,HR,MUS124_HR_C,4-,B,< 5,,Level,,Moder,5,Ae,7,L-SiL,> 30,30,40,No,,Yes,30,At,At; Alnu aln; Pli; Loni inv; Rubu par; Spir bet; Rosa aci; Cham ang; Rubu ped; Corn can; Peta pal; Clin uni; Cala can; Vacc cae ; Frag vir; Linn bor,
